id,RestaurantName,SentimentLabels,ReviewRating,CorrectSentiment
0,Hair by Megan B.,1,5,1
1,One Illinois Center Dental Associates,0,1,0
2,Valet Parking Service,1,4,1
3,Downtown Tobacco,0,5,1
4,Warehouse Liquors,0,5,1
5,Warehouse Liquors,1,4,1
6,Warehouse Liquors,1,5,1
7,Warehouse Liquors,0,3,0
8,Warehouse Liquors,1,5,1
9,Warehouse Liquors,1,4,1
10,Warehouse Liquors,1,5,1
11,Warehouse Liquors,1,5,1
12,Working on Labor Day,0,1,0
13,Colin Lyons Wedding Photography,1,5,1
14,Colin Lyons Wedding Photography,1,5,1
15,Colin Lyons Wedding Photography,1,5,1
16,Harry's Hot Dogs,0,3,0
17,Harry's Hot Dogs,0,3,0
18,Harry's Hot Dogs,1,5,1
19,Harry's Hot Dogs,1,5,1
20,Terzo Piano,1,4,1
21,Terzo Piano,0,2,0
22,Terzo Piano,0,4,1
23,Terzo Piano,1,4,1
24,Terzo Piano,1,5,1
25,Terzo Piano,0,2,0
26,Terzo Piano,1,4,1
27,Terzo Piano,0,3,0
28,Terzo Piano,0,3,0
29,Terzo Piano,0,3,0
30,Terzo Piano,1,4,1
31,Terzo Piano,1,4,1
32,Terzo Piano,0,2,0
33,Terzo Piano,0,1,0
34,Terzo Piano,0,3,0
35,Terzo Piano,0,3,0
36,Terzo Piano,0,3,0
37,Terzo Piano,1,5,1
38,Terzo Piano,0,3,0
39,Terzo Piano,1,4,1
40,Terzo Piano,0,3,0
41,Terzo Piano,0,3,0
42,Terzo Piano,0,3,0
43,Terzo Piano,1,5,1
44,Terzo Piano,1,5,1
45,Terzo Piano,0,1,0
46,Terzo Piano,0,2,0
47,Terzo Piano,0,3,0
48,Terzo Piano,1,4,1
49,Terzo Piano,1,4,1
50,Smart Resources,0,2,0
51,Smart Resources,1,5,1
52,Smart Resources,1,4,1
53,Smart Resources,1,5,1
54,Smart Resources,1,5,1
55,Smart Resources,1,5,1
56,Smart Resources,0,3,0
57,Smart Resources,1,5,1
58,Smart Resources,0,3,0
59,Delmonico,0,3,0
60,Delmonico,0,3,0
61,Delmonico,1,5,1
62,Delmonico,0,3,0
63,Delmonico,0,3,0
64,Delmonico,1,5,1
65,Delmonico,0,3,0
66,Delmonico,0,3,0
67,Delmonico,1,5,1
68,Macy's,0,3,0
69,Macy's,1,5,1
70,Macy's,1,4,1
71,Macy's,1,5,1
72,Macy's,0,1,0
73,Macy's,0,3,0
74,Macy's,0,2,0
75,Macy's,0,3,0
76,Macy's,1,5,1
